Date,Not indexed,Indexed,Impressions
2026-05-24,,,0
2026-05-25,16,1,0
2026-05-26,16,1,0
2026-05-27,16,1,0
2026-05-28,16,1,1
2026-05-29,16,1,0
2026-05-30,16,1,0
2026-05-31,16,1,0
2026-06-01,16,1,0
2026-06-02,16,1,1
2026-06-03,16,1,4
2026-06-04,16,1,2
2026-06-05,16,1,1
2026-06-06,16,1,0
2026-06-07,16,1,3
2026-06-08,16,1,6
2026-06-09,16,1,5
2026-06-10,16,1,5
2026-06-11,16,1,7
2026-06-12,16,1,5
2026-06-13,4,1,4
2026-06-14,4,1,4
2026-06-15,4,1,5
2026-06-16,4,1,3
2026-06-17,4,1,7
2026-06-18,4,1,7
2026-06-19,4,1,16
2026-06-20,4,1,4
2026-06-21,4,1,3
2026-06-22,4,1,11
2026-06-23,4,1,9
2026-06-24,4,1,3
2026-06-25,4,1,7
2026-06-26,4,1,3
2026-06-27,4,1,5
2026-06-28,4,1,8
2026-06-29,4,1,8
2026-06-30,4,1,20
2026-07-01,8,1,2
2026-07-02,8,1,5
2026-07-03,8,1,3
2026-07-04,8,1,4
2026-07-05,8,1,0
2026-07-06,8,1,1
2026-07-07,8,1,0
2026-07-08,8,1,3
2026-07-09,8,1,1
2026-07-10,8,1,3
2026-07-11,8,1,2
2026-07-12,8,1,1
2026-07-13,8,1,2
2026-07-14,8,1,0
2026-07-15,8,1,2
2026-07-16,8,1,0
2026-07-17,8,1,0
2026-07-18,8,1,1
2026-07-19,8,1,0
2026-07-20,8,1,2
2026-07-21,8,1,3
2026-07-22,8,1,2
2026-07-23,8,1,2
2026-07-24,8,1,1
2026-07-25,10,1,3
2026-07-26,10,1,0
2026-07-27,10,1,4
2026-07-28,10,1,0
2026-07-29,10,1,4
2026-07-30,10,1,3
2026-07-31,10,1,7
2026-08-01,10,1,6
2026-08-02,10,1,4
2026-08-03,10,1,5
2026-08-04,10,1,5
2026-08-05,10,1,2
2026-08-06,10,1,10
2026-08-07,10,1,5
2026-08-08,10,1,0
2026-08-09,10,1,1
2026-08-10,10,1,1
2026-08-11,10,1,4
2026-08-12,10,1,1
2026-08-13,10,1,1
2026-08-14,10,1,4
2026-08-15,10,1,0
2026-08-16,10,1,0
2026-08-17,10,1,1
